"from","to","strength","direction"
"Tstate_simple_cytotoxic","prop_NK",0.97,0.534072598596777
"prop_NK","Tstate_simple_cytotoxic",0.97,0.465927401403223
"prop_Epithelial_cells","Mstate_simple_dendritic_cell",0.896,0.665747976101338
"Mstate_simple_dendritic_cell","prop_Epithelial_cells",0.896,0.334252023898662
"Tstate_simple_exhausted","Tstate_simple_cytotoxic",0.87,0.400957234498074
"Tstate_simple_cytotoxic","Tstate_simple_exhausted",0.87,0.599042765501926
"Tstate_simple_regulatory","Tstate_simple_cytotoxic",0.865,0.472469449317302
"Tstate_simple_cytotoxic","Tstate_simple_regulatory",0.865,0.527530550682698
"prop_Epithelial_cells","Tstate_simple_regulatory",0.803,0.514623312601107
"Tstate_simple_regulatory","prop_Epithelial_cells",0.803,0.485376687398893
"Mstate_simple_dendritic_cell","Tstate_simple_cytotoxic",0.553,0.451760035278661
"Tstate_simple_cytotoxic","Mstate_simple_dendritic_cell",0.553,0.548239964721339
