"from","to","n_methods","methods"
"Tstate_simple_cytotoxic","Tstate_simple_exhausted",3,"HC_lenient, PC_lenient, TABU_lenient"
"Tstate_simple_cytotoxic","prop_NK",3,"HC_lenient, PC_lenient, TABU_lenient"
"prop_Epithelial_cells","Mstate_simple_dendritic_cell",3,"HC_lenient, PC_lenient, TABU_lenient"
"prop_Epithelial_cells","Tstate_simple_regulatory",3,"HC_lenient, PC_lenient, TABU_lenient"
"Mstate_simple_dendritic_cell","Tstate_simple_exhausted",2,"HC_lenient, TABU_lenient"
"Tstate_simple_cytotoxic","Mstate_simple_dendritic_cell",2,"HC_lenient, TABU_lenient"
"Tstate_simple_regulatory","Tstate_simple_cytotoxic",2,"HC_lenient, TABU_lenient"
"Tstate_simple_cytotoxic","Tstate_simple_regulatory",1,"PC_lenient"
