"Samples","Patients","Groups","n_cells","CD8_CD4_ratio","Tcell_Myeloid_ratio","Immune_Tumor_ratio","Lymphoid_Myeloid_ratio","prop_immune","prop_stromal","prop_CD4_T","prop_CD8_T","prop_NK","prop_Monocyte","prop_Macrophage","prop_DC","prop_Fibroblast","prop_Other_stromal_cells","prop_Endothelial_cells","prop_Epithelial_cells","prop_Proliferative_cells","prop_B","prop_Mesothelial_cells","prop_HSC","Tstate_simple_cytotoxic","Tstate_simple_effector_memory","Tstate_simple_exhausted","Tstate_simple_naive","Tstate_simple_regulatory","Mstate_simple_TAM_immunosuppressive","Mstate_simple_dendritic_cell","Mstate_simple_macrophage_other","Mstate_simple_monocyte"
"C1_PT","C1","Primary Tumor",3735,2.68604651162791,1.52657004830918,0.17381562099872,1.6280193236715,0.145113788487282,0.00535475234270415,0.0227576974564926,0.0615796519410977,0.00562248995983936,0.000267737617135208,0.0468540829986613,0.0037483266398929,0.00214190093708166,0.00508701472556894,0.00535475234270415,0.836144578313253,0.0104417670682731,0,0,0,0.0158730158730159,0.533333333333333,0.33968253968254,0.00634920634920635,0.104761904761905,0.878640776699029,0.0679611650485437,0.0485436893203883,0.00485436893203883
"ECO1_AS","ECO1","Ascites",11550,0.84,0.00406173842404549,102.504587155963,0.00857478111742937,0.967272727272727,0,0.00207792207792208,0.00173160173160173,0.00164502164502165,0.00329004329004329,0.884329004329004,0.0350649350649351,8.65800865800866e-05,0,0,0.00935064935064935,0.0402597402597403,0.00268398268398268,0.018961038961039,0.00051948051948052,0.159090909090909,0.590909090909091,0.0454545454545455,0.181818181818182,0.0227272727272727,0.930312330745622,0.036558945658061,0.029698501534573,0.003430222061744
"ECO1_BC","ECO1","PBMC",7181,0.594817432273263,2.16817939135077,7134,2.80939668980246,0.993315694193009,0,0.354546720512463,0.210834145662164,0.107923687508704,0.251775518729982,0.000557025483915889,0.00835538225873834,0,0,0,0,0.00612728032307478,0.0593232140370422,0,0.000557025483915889,0.288423645320197,0.46576354679803,0.000246305418719212,0.208620689655172,0.0369458128078818,0.00106837606837607,0.032051282051282,0.00106837606837607,0.965811965811966
"ECO1_LN","ECO1","Lymph Node",14525,0.195956295312979,39.9692832764505,14102,47.1331058020478,0.970808950086058,0.00991394148020654,0.674148020654045,0.132048192771084,0.0297418244406196,0.000413080895008606,0.000895008605851979,0.0181067125645439,0.000137693631669535,0.0137693631669535,0.00991394148020654,0,0.00592082616179002,0.114767641996558,0,0.000137693631669535,0.0127241673783091,0.559692570452605,0.000426985482493595,0.33868488471392,0.0884713919726729,0.0410958904109589,0.900684931506849,0.0376712328767123,0.0205479452054795
"ECO1_MT","ECO1","Metastatic Tumor",10526,17.6491228070175,5.56282722513089,0.784038755736869,7.05235602094241,0.292038761162835,0.0993729811894357,0.0107353220596618,0.191050731521946,0.0402812084362531,0,0.0292608778263348,0.00418012540376211,0.185730571917158,0.0440813224396732,0.0993729811894357,0.372506175185256,0.00788523655709671,0.0137754132623979,0.00114003420102603,0,0.164312617702448,0.796610169491525,0.00376647834274953,0.000470809792843691,0.0348399246704331,0.724409448818898,0.115485564304462,0.16010498687664,0
"ECO1_PT","ECO1","Primary Tumor",8799,77.5,0.440677966101695,0.11616818378847,0.516949152542373,0.0608023639049892,0.0876235935901807,0.000113649278327083,0.0175019888623707,0.00306853051483123,0.000227298556654165,0.0362541197863394,0.00045459711330833,0.233435617683828,0.089441982043414,0.0876235935901807,0.524264120922832,0.00727355381293329,0,0.000340947834981248,0,0.296774193548387,0.703225806451613,0,0,0,0.909348441926346,0.0113314447592068,0.0736543909348442,0.0056657223796034
"HGSOC10_AS","HGSOC10","Ascites",2350,1.73134328358209,3.79584775086505,42.7647058823529,6.55017301038062,0.927659574468085,0,0.17063829787234,0.295744680851064,0.306382978723404,0.0106382978723404,0.0638297872340425,0.0476595744680851,0,0,0,0.0212765957446809,0.0229787234042553,0.0323404255319149,0.0280851063829787,0.000425531914893617,0.257299270072993,0.579379562043796,0.0291970802919708,0.041970802919708,0.0921532846715328,0.243055555555556,0.388888888888889,0.28125,0.0868055555555556
"HGSOC10_PT","HGSOC10","Primary Tumor",3506,5.0983606557377,0.493351063829787,0.700059276822762,0.571808510638298,0.33656588705077,0.00998288648031945,0.0171135196805476,0.0884198516828294,0.0139760410724472,0.000570450656018254,0.172561323445522,0.00342270393610953,0.112378779235596,0.0296634341129492,0.00998288648031945,0.480889903023388,0.0507701083856246,0.00285225328009127,0.0173987450085568,0,0.0135135135135135,0.664864864864865,0.178378378378378,0.0108108108108108,0.132432432432432,0.916111850865513,0.0159786950732357,0.0652463382157124,0.00266311584553928
"HGSOC1_AS","HGSOC1","Ascites",6080,1.51384199864956,3.57197696737044,258.652173913043,4.71017274472169,0.97828947368421,0,0.243421052631579,0.368585526315789,0.114473684210526,0.00246710526315789,0.0748355263157895,0.0924342105263158,0,0,0,0.00361842105263158,0.0184210526315789,0.0805921052631579,0.000493421052631579,0.000657894736842105,0.188927707605482,0.539102391830153,0.100779360386993,0.0825047030368181,0.0886858371405536,0.123919308357349,0.539865513928914,0.32180595581172,0.0144092219020173
"HGSOC1_BC","HGSOC1","PBMC",8253,0.222195760895451,3.19688473520249,8192,4.10467289719626,0.99248758027384,0,0.508663516297104,0.112928632012601,0.0607051981097783,0.18308493881013,0.00193868896158972,0.00932994062765055,0,0,0,0,0.00654307524536532,0.115836665454986,0,0.000969344480794862,0.104093567251462,0.288499025341131,0,0.572904483430799,0.0345029239766082,0.00124688279301746,0.0480049875311721,0.00872817955112219,0.942019950124688
