"Annotation","maintypes_2","n_cells","pct"
"T02_CD4-ANXA1","CD4+ T",24980,32.44
"T01_CD4-CCR7","CD4+ T",12987,16.86
"T08_CD8-GZMK","CD8+ T",11032,14.32
"T03_CD4-FOXP3","CD4+ T",7370,9.57
"T09_CD8-CX3CR1","CD8+ T",5629,7.31
"T10_CD8-HAVCR2","CD8+ T",4275,5.55
"T06_CD8-CCR7","CD8+ T",3425,4.45
"T07_CD8-ANXA2","CD8+ T",3277,4.26
"T11_CD8-SLC4A10","CD8+ T",1935,2.51
"T04_CD4-CX3CR1","CD4+ T",1402,1.82
"T05_CD4-PDCD1","CD4+ T",701,0.91
